filename,CH3NO2,O2,N2,T_EOC (K),P_EOC (bar)
CH3NO2_phi0.5_bar15_T810K_IDT109.2ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,811.93,17.767137
CH3NO2_phi0.5_bar15_T821K_IDT55.8ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,821.06,18.634862
CH3NO2_phi0.5_bar15_T830K_IDT27.2ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,829.81,19.343875
CH3NO2_phi0.5_bar15_T844K_IDT12.7ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,844.37,18.63942
CH3NO2_phi0.5_bar15_T844K_IDT16.4ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,844.77,19.491359
CH3NO2_phi0.5_bar30_T796K_IDT160.9ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,796.08,38.222525
CH3NO2_phi0.5_bar30_T796K_IDT167.1ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,796.04,37.841643
CH3NO2_phi0.5_bar30_T798K_IDT107.3ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,798.39,39.378674
CH3NO2_phi0.5_bar30_T815K_IDT35.3ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,815.08,42.169158
CH3NO2_phi0.5_bar30_T824K_IDT23.3ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,824.48,42.720289
CH3NO2_phi0.5_bar30_T834K_IDT13.3ms.csv,2.000000e-02,5.000000e-02,9.300000e-01,834.83,42.637842
CH3NO2_phi1.0_bar15_T830K_IDT34.4ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,831.03,17.672841
CH3NO2_phi1.0_bar15_T841K_IDT19.4ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,842.14,18.014435
CH3NO2_phi1.0_bar15_T841K_IDT82.3ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,841.52,14.959657
CH3NO2_phi1.0_bar15_T852K_IDT47.1ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,854.99,15.00802
CH3NO2_phi1.0_bar15_T854K_IDT10.5ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,853.67,18.179827
CH3NO2_phi1.0_bar15_T864K_IDT23.5ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,864.85,15.326674
CH3NO2_phi1.0_bar15_T873K_IDT12.8ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,873.67,15.735974
CH3NO2_phi1.0_bar30_T796K_IDT175.7ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,796.13,34.537342
CH3NO2_phi1.0_bar30_T799K_IDT137.4ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,799.96,36.002947
CH3NO2_phi1.0_bar30_T808K_IDT74.9ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,808.84,36.171661
CH3NO2_phi1.0_bar30_T812K_IDT209.5ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,812.84,29.944583
CH3NO2_phi1.0_bar30_T813K_IDT65.2ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,813.1,36.105899
CH3NO2_phi1.0_bar30_T821K_IDT152.4ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,821.73,29.837521
CH3NO2_phi1.0_bar30_T834K_IDT13.6ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,834.8,37.906856
CH3NO2_phi1.0_bar30_T835K_IDT61.1ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,835.95,31.336102
CH3NO2_phi1.0_bar30_T845K_IDT29.0ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,845.91,32.386156
CH3NO2_phi1.0_bar30_T857K_IDT19.2ms.csv,1.000000e-02,1.250000e-02,9.775000e-01,857.18,32.827995
CH3NO2_phi1.0_bar30_T857K_IDT20.9ms.csv,2.000000e-02,2.500000e-02,9.550000e-01,825.76,39.133728
CH3NO2_phi2.0_bar15_T821K_IDT94.4ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,821.8,15.021032
CH3NO2_phi2.0_bar15_T832K_IDT50.6ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,832.34,15.522564
CH3NO2_phi2.0_bar15_T843K_IDT24.0ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,843.11,16.457238
CH3NO2_phi2.0_bar15_T852K_IDT16.0ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,853.44,16.75487
CH3NO2_phi2.0_bar15_T865K_IDT7.9ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,865.58,16.840077
CH3NO2_phi2.0_bar30_T806K_IDT99.4ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,806.1,32.89539
CH3NO2_phi2.0_bar30_T810K_IDT94.4ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,810.09,33.087414
CH3NO2_phi2.0_bar30_T824K_IDT32.7ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,825.79,35.647462
CH3NO2_phi2.0_bar30_T836K_IDT20.2ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,836.1,35.954028
CH3NO2_phi2.0_bar30_T847K_IDT11.4ms.csv,1.990000e-02,1.240000e-02,9.676000e-01,847.55,36.121197
